#,Name of Allah,Meaning (Arabic),Meaning (English)
1,الله (Allah),الاسم الأعظم، الذي يدل على الذات الإلهية المعبودة.,"The Greatest Name, which indicates the Divine Essence that is worshipped."
2,الأحد (Al-Ahad),الفريد في ذاته وصفاته، الواحد الأحد.,"The Unique in His Essence and Attributes, the One and Only."
3,الأعلى (Al-A’laa),العليّ في ذاته وصفاته، المتعالي عن كل نقص.,"The Most High in His Essence and Attributes, transcendent above all imperfection."
4,الأكرم (Al-Akram),الواسع الكرم، الذي لا يحدّ كرمه حد.,"The Most Generous, whose generosity is boundless."
5,الإله (Al-Ilaah),المعبود بحق، المستحق للعبادة.,"The Deity, the One who truly deserves to be worshipped."
6,الأول (Al-Awwal),الأزليّ الذي ليس قبله شيء.,"The First, the Eternal, who has no beginning."
7,الآخر (Al-Aakhir),الباقي بعد فناء كل شيء.,"The Last, the Everlasting, who remains after all else has perished."
8,الظاهر (Az-Zaahir),الذي علا على كل شيء.,"The Manifest, the One who is above all things."
9,الباطن (Al-Baatin),الذي يعلم السرّ وأخفى.,"The Hidden, the One who knows the secrets and what is most concealed."
10,البارئ (Al-Baari),الخالق المبدع من غير مثال سابق.,"The Originator, the Creator who brings into being without any prior example."
11,البرّ (Al-Barr),الذي لا يزال برّه وإحسانه على خلقه.,"The Source of All Goodness, whose kindness and benevolence are continuous upon His creation."
12,البصير (Al-Baseer),الذي لا يخفى عليه شيء في الأرض ولا في السماء.,"The All-Seeing, from whom nothing in the earth or the heavens is hidden."
13,التواب (At-Tawwaab),الذي يقبل توبة عباده ويعفو عنهم.,"The Accepter of Repentance, the One who guides to repentance and accepts it."
14,الجبار (Al-Jabbaar),الذي قهر كل شيء بجبروته.,"The Compeller, the One whose might compels all things to submit."
15,الحفيظ (Al-Haafiz),الحافظ لخلقه، الذي يحفظ السماوات والأرض.,"The Protector, the Guardian of His creation, who preserves the heavens and the earth."
16,الحسيب (Al-Haseeb),الكافي لعباده، الذي يحفظ أعمالهم ويجازيهم عليها.,"The Reckoner, the Sufficient One for His servants, who records their deeds and recompenses them accordingly."
17,الحفيظ (Al-Hafeez),الحافظ لعباده من كل سوء.,"The Preserver, the One who protects His servants from all evil."
18,الحفيّ (Al-Hafee),اللطيف بعباده، الذي يغيثهم ويرحمهم.,"The Benevolent, the Gentle One with His servants, who aids and has mercy upon them."
19,الحقّ (Al-Haqq),الثابت الوجود، الذي لا شكّ في وجوده.,"The Truth, the One whose existence is certain and absolute."
20,المبين (Al-Mubeen),الواضح الدلالة على وحدانيته.,"The Manifest, the One whose Oneness is evident."
21,الحكيم (Al-Hakeem),الحكيم في خلقه وأمره.,"The Wise, the One whose decrees and actions are perfect in wisdom."
22,الحليم (Al-Haleem),الذي لا يعاجل بالعقوبة، بل يؤخرها ليتوب عباده.,"The Forbearing, the One who does not hasten to punish, but gives time for repentance."
23,الحميد (Al-Hameed),المحمود في جميع أفعاله.,"The Praiseworthy, the One who is praised for all His actions."
24,الحيّ (Al-Hayy),الحيّ الذي لا يموت.,"The Ever-Living, the One who has life without end."
25,القيّوم (Al-Qayyoom),القائم بنفسه، القائم بأمور خلقه.,"The Self-Subsisting, the One who sustains Himself and all creation."
26,الخبير (Al-Khabeer),العليم بكل شيء.,"The All-Aware, the One who knows all things."
27,الخالق (Al-Khaaliq),الخالق من العدم.,"The Creator, the One who brings all things into existence from nothing."
28,الخلاق (Al-Khallaaq),الذي خلق فأحسن الخلق.,"The Creator, the One who creates and perfects His creation."
29,الرؤوف (Ar-Ra’oof),الرحيم بعباده.,"The Compassionate, the One who shows mercy to His servants."
30,الرحمن (Ar-Rahmaan),ذو الرحمة الواسعة.,"The Most Gracious, the One who possesses vast mercy."
31,الرحيم (Ar-Raheem),الذي وسعت رحمته كل شيء.,"The Most Merciful, whose mercy encompasses all things."
32,الرزاق (Ar-Razzaaq),الذي يرزق جميع خلقه.,"The Provider, the One who provides sustenance for all creation."
33,الرقيب (Ar-Raqeeb),الحافظ الذي لا يغفل عن شيء.,"The Watchful, the One who observes all things and never neglects anything."
34,السلام (As-Salaam),السلام الذي سلم من كل عيب ونقص.,"The Source of Peace, the One who is free from all imperfections."
35,السميع (‘As-Samee),الذي يسمع كل شيء.,"The All-Hearing, the One who hears all things."
36,الشاكر (Ash-Shaakir),الذي يجازي على القليل بالكثير.,"The Appreciative, the One who rewards greatly for even small deeds."
37,الشكور (Ash-Shakoor),الذي يثيبه على الشكر.,"The Most Appreciative, the One who rewards those who are grateful."
38,الشهيد (Ash-Shaheed),الذي يشهد كل شيء.,"The Witness, the One who witnesses all things."
39,الصمد (As-Samad),الذي يصمد إليه الخلق في حوائجهم.,"The Eternal, the One to whom all creation turns in their needs."
40,العالم (Al-‘Aalim),العالم بكل شيء.,"The All-Knowing, the One who knows all things."
41,العزيز (Al-‘Azeez),الغالب الذي لا يُغلب.,"The Almighty, the One who is invincible and cannot be overcome."
42,العظيم (Al-‘Azeem),العظيم الذي يعظمه كل شيء.,"The Magnificent, the One who is truly Great and deserves veneration."
43,العفوّ (Al-‘Afuww),الذي يعفو عن الذنوب.,"The Pardoner, the One who forgives sins."
44,العليم (Al-‘Aleem),العليم بكل شيء.,"The All-Knowing, the One who has knowledge of all things."
45,العليّ (Al-‘Aliyy),العليّ فوق كل شيء.,"The Most High, the One who is exalted above all things."
46,الغفار (Al-Ghaffaar),الذي يغفر الذنوب كثيراً.,"The Oft-Forgiving, the One who forgives sins abundantly."
47,الغفور (Al-Ghafoor),الذي يستر الذنوب.,"The Forgiving, the One who conceals sins."
48,الغنيّ (Al-Ghaniyy),الغنيّ عن كل شيء.,"The Self-Sufficient, the One who is free of all needs."
49,الفتاح (Al-Fattaah),الذي يفتح أبواب الخير لعباده.,"The Opener, the One who opens the doors of goodness for His servants."
50,القادر (Al-Qaadir),القادر على كل شيء.,"The All-Powerful, the One who is capable of all things."
51,القاهر (Al-Qaahir),الذي قهر كل شيء.,"The Subduer, the One who has dominion over all things."
52,القدوس (Al-Quddoos),المنزه عن كل نقص.,"The Most Holy, the One who is pure and free from all imperfections."
53,القدير (Al-Qadeer),القادر على كل شيء.,"The All-Powerful, the One who has power over all things."
54,القريب (Al-Qareeb),القريب من عباده.,"The Near, the One who is close to His servants."
55,القويّ (Al-Qawiyy),القويّ الذي لا يغلبه شيء.,"The Strong, the One who is perfect in strength and cannot be overcome."
56,القهار (Al-Qahhaar),الذي قهر كل شيء بقدرته.,"The Subduer, the One who overpowers all things with His might."
57,الكبير (Al-Kabeer),الكبير المتعال.,"The Great, the One who is magnificent and exalted."
58,الكريم (Al-Kareem),الجواد الكريم.,"The Generous, the One who is noble and bountiful."
59,اللطيف (Al-Lateef),اللطيف بعباده.,"The Subtle, the One who is kind and gentle with His servants."
60,المؤمن (Al-Mu’min),الذي يؤمن عباده من الخوف.,"The Giver of Faith, the One who grants security and removes fear from His servants."
61,المتعالي (Al-Muta’aalee),المتعالي عن كل نقص.,"The Most Exalted, the One who is transcendent above all imperfections."
62,المتكبر (Al-Mutakabbir),المتكبر المتعالي.,"The Majestic, the One who is supremely exalted."
63,المتين (Al-Mateen),القويّ المتين.,"The Firm, the One who is strong and steadfast."
64,المجيب (Al-Mujeeb),الذي يجيب دعاء الداعين.,"The Responsive, the One who answers the prayers of those who call upon Him."
65,المجيد (Al-Majeed),ذو المجد والعظمة.,"The Glorious, the One who possesses glory and majesty."
66,المحيط (Al-Muheet),الذي أحاط بكل شيء علماً.,"The Encompassing, the One whose knowledge encompasses all things."
67,المصور (Al-Musawwir),الذي صوّر خلقه فأحسن تصويرهم.,"The Fashioner, the One who forms and perfects His creation."
68,المقتدر (Al-Muqtadir),القادر على كل شيء.,"The Powerful, the One who is capable of all things."
69,المقيت (Al-Muqeet),الذي يقوت خلقه.,"The Sustainer, the One who provides sustenance for His creation."
70,الملك (Al-Malik),مالك الملك.,"The King, the Sovereign, the Possessor of all dominion."
71,المليك (Al-Maleek),الذي له الملك.,"The Sovereign, the One to whom all sovereignty belongs."
72,المولى (Al-Mawlaa),الوليّ النصير.,"The Protecting Friend, the Ally and Helper."
73,المهيمن (Al-Muhaymin),الرقيب على كل شيء.,"The Guardian, the Overseer of all things."
74,النصير (An-Naseer),الناصر لعباده.,"The Helper, the One who aids and supports His servants."
75,الواحد (Al-Waahid),الفرد الصمد.,"The One, the Unique, the Only One."
76,الوارث (Al-Waarith),وارث كل شيء.,"The Inheritor, the One who inherits all things."
77,الواسع (Al-Waasi’),الواسع المغفرة.,"The All-Encompassing, the One whose forgiveness is vast."
78,الودود (Al-Wadood),الذي يحبّ عباده ويحبونه.,"The Loving, the One who loves His servants and is loved by them."
79,الوكيل (Al-Wakeel),الوكيل الذي يُوكّل إليه الأمور.,"The Trustee, the One who is entrusted with all affairs."
80,الوليّ (Al-Waliyy),الوليّ لعباده المؤمنين.,"The Protecting Friend, the Guardian of the believers."
81,الوهاب (Al-Wahhaab),الذي وهب كل شيء.,"The Bestower, the One who bestows all gifts and blessings."
82,الجميل (Al-Jameel),الذي له الجمال المطلق.,"The Beautiful, the One who possesses absolute beauty."
83,الجواد (Al-Jawaad),الجواد الكريم.,"The Generous, the One who is bountiful and giving."
84,الحكم (Al-Hakam),الحاكم العدل.,"The Judge, the Ruler, the Just One."
85,الحيّي (Al-Hayyiyy),الحيّ الذي لا يموت.,"The Ever-Living, the One who possesses eternal life."
86,الربّ (Ar-Rabb),الربّ المالك.,"The Lord, the Master, the Sustainer."
87,الرفيق (Ar-Rafeeq),اللطيف بعباده.,"The Companion, the One who is kind and gentle with His servants."
88,السبّوح (As-Subbooh),المنزه عن كل نقص.,"The Most Glorified, the One who is free from all imperfections."
89,السيد (As-Sayyid),السيد المطاع.,"The Master, the One who is obeyed."
90,الشافي (Ash-Shaafee),الذي يشفي المرضى.,"The Healer, the One who cures the sick."
91,الطيب (At-Tayyib),الطيب المطهر.,"The Pure, the Good, the One who purifies."
92,القابض (Al-Qaabid),الذي يقبض الأرواح.,"The Withholder, the One who takes away life."
93,الباسط (Al-Baasit),الذي يبسط الرزق لعباده.,"The Expander, the One who extends provision to His servants."
94,المقدم (Al-Muqaddim),الذي يقدم من يشاء.,"The Expediter, the One who brings forward whomever He wills."
95,المؤخر (Al-Mu’akhkhir),الذي يؤخر من يشاء.,"The Delayer, the One who postpones whomever He wills."
96,المحسن (Al-Muhsin),الذي يحسن إلى خلقه.,"The Doer of Good, the One who shows kindness to His creation."
97,المعطي (Al-Mu’tee),الذي يعطي بلا منّ.,"The Giver, the One who gives without expecting anything in return."
98,المنان (Al-Mannaan),الذي يمنّ على عباده بالنعم.,"The Bestower of Blessings, the One who blesses His servants with favors."
99,الوتر (Al-Witr),الفرد الواحد.,"The One, the Unique, the Single."