#,Name,Name (English),Meaning,Reference from the Qur'an (Arabic),Reference from the Qur'an (English),Citation (Number),Meaning (Arabic),Meaning (English)
1,الله,Allah,God,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1],الاسم الأعظم، الذي يدل على الذات الإلهية المعبودة.,"The Greatest Name, which indicates the Divine Essence that is worshipped."
2,الأحَد,Al-Ahad,The One/Unique,اللَّهُ الصَّمَدُ,"“Say, “He is Allah , One”",[112:1]
3,الأعْلَى,Al-A’laa,The Most Exalted/ High,سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى,"“Exalt the name of your Lord, the Most High”",[87:1]
4,الأكْرَم,Al-Akram,The Most Generous,… اقْرَأْ وَرَبُّكَ الْأَكْرَمُ,"“Recite, and your Lord is the most Generous”",[96:3]
5,الإله,Al-Ilaah,The One Who Alone Deserves to be Worshiped,… وَإِلَـهُكُمْ إِلَهٌ وَاحِدٌ,"“And your god is one God…”",[2:163]
6,الأوَّل,Al-Awwal,The First,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
7,الآخِر,Al-Aakhir,The Last,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
8,الظاهِر,Az-Zaahir,The Most High,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
9,البَاطِن,Al-Baatin,The Most Near,هُوَ الْأَوَّلُ وَالْآخِرُ وَالظَّاهِرُ وَالْبَاطِنُ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,"“He is the First and the Last, the Ascendant and the Intimate, and He is, of all things, Knowing.”",[57:3]
10,البارِئ,Al-Baari,The Originator,…هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ,"“He is Allah , the Creator, the Inventor (originator), the Fashioner…”",[59:24]
11,البَرّ,Al-Barr,The Most Kind,إِنَّهُ هُوَ الْبَرُّ الرَّحِيمُ…,"“Indeed, it is He who is the Beneficent (Most Kind), the Merciful.”",[52:28]
12,البَصِير,Al-Baseer,The All Seeing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…,"“Indeed, He is the Hearing, the Seeing.”",[17:1]
13,التَّوَّاب,At-Tawwaab,The One Who Accepts the repentance,إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ…,"“Indeed, it is He who is the Accepting of repentance, the Merciful.”",[2:37]
14,الجَبَّار,Al-Jabbaar,The Compeller,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…”",[59:23]
15,الحافِظ,Al-Haafiz,The Protector,فَاللّهُ خَيْرٌ حَافِظًا وَهُوَ أَرْحَمُ الرَّاحِمِينَ …,"“But Allah is the best guardian…”",[12:64]
16,الحَسِيب,Al-Haseeb,The Sufficient/ Ever-Reckoner,إِنَّ اللّهَ كَانَ عَلَى كُلِّ شَيْءٍ حَسِيبًا …,"“Indeed, Allah is ever, over all things, an Accountant (Ever-Reckoner).”",[4:86]
17,الحَفِيظ,Al-Hafeez,The Preserver,وَرَبُّكَ عَلَى كُلِّ شَيْءٍ حَفِيظٌ,"“And your Lord, over all things, is Guardian (Preserver).”",[34:21]
18,الحَفِيُّ,Al-Hafee,The Benevolent/ Ever-Hospitable,إِنَّهُ كَانَ بِي حَفِيًّا,"“Indeed, He is ever gracious to me (Ever-Hospitable).”",[19:47]
19,الحقّ,Al-Haqq,The Truth,أَنَّ اللّهَ هُوَ الْحَقُّ الْمُبِينُ,"“it is Allah who is the perfect in justice.”",[24:25]
20,المُبِين,Al-Mubeen,The Evident,أَنَّ اللّهَ هُوَ الْحَقُّ الْمُبِينُ,"“it is Allah who is the perfect in justice.”",[24:25]
21,الحَكِيم,Al-Hakeem,The All-Wise,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَهُوَ الْحَكِيمُ الْخَبِيرُ,"“And He is the subjugator over His servants. And He is the Wise, the Acquainted .”",[6:18]
22,الحَلِيم,Al-Haleem,The Forbearing,إِنَّ اللّهَ غَفُورٌ حَلِيمٌ,"“Indeed, Allah is Forgiving and Forbearing.”",[3:155]
23,الحَمِيد,Al-Hameed,The Praiseworthy,فَإِنَّ اللّهَ هُوَ الْغَنِيُّ الْحَمِيدُ,"“indeed, Allah is the Free of need, the Praiseworthy.”",[57:24]
24,الحَيّ,Al-Hayy,The Ever Living,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…”",[2:255]
25,القَيُّوم,Al-Qayyoom,The Self Sustaining,اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ,"“Allah – there is no deity except Him, the Ever-Living, the Sustainer of existence…”",[2:255]
26,الخَبِير,Al-Khabeer,The Fully Aware,إِنَّ اللّهَ لَطِيفٌ خَبِيرٌ…,"“Indeed, Allah is Subtle and Acquainted.”",[22:63]
27,الخَالِق,Al-Khaaliq,The Creator of Everything,هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ,"“He is Allah , the Creator, the Inventor, the Fashioner…”",[59:24]
28,الخَلاّق,Al-Khallaaq,The Creator Who Creates Again & Again,إِنَّ رَبَّكَ هُوَ الْخَلاَّقُ الْعَلِيمُ,"“Indeed, your Lord – He is the Knowing Creator.”",[15:86]
29,الرَّؤُوف,Ar-Ra’oof,The Compassionate,وَأَنَّ اللّه رَؤُوفٌ رَّحِيمٌ…,"“and because Allah is Kind and Merciful.”",[24:20]
30,الرَّحْمَٰنِ,Ar-Rahmaan,The Extremely Merciful,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1]
31,الرَّحِيم,Ar-Raheem,The Bestower of Mercy,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"“In the name of Allah , the Entirely Merciful, the Especially Merciful.”",[1:1]
32,الرَّزَّاق,Ar-Razzaaq,The Great Provider,إِنَّ اللّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ,"“Indeed, it is Allah who is the Provider, the firm possessor of strength.”",[51:58]
33,الرَّقِيب,Ar-Raqeeb,The Watchful,فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ,"“but when You took me up, You were the Observer over them…”",[5:117]
34,السّلام,As-Salaam,The Flawless One,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…”",[59:23]
35,السَّمِيع,‘As-Samee,The All Hearing,إِنَّهُ هُوَ السَّمِيعُ البَصِيرُ…,"“Indeed, He is the Hearing, the Seeing.”",[17:1]
36,الشَاكِر,Ash-Shaakir,The Grateful,فَإِنَّ اللّهَ شَاكِرٌ عَلِيمٌ,"“then indeed, Allah is appreciative (Grateful) and Knowing.”",[2:158]
37,الشَّكُور,Ash-Shakoor,The Appreciative,إِنَّهُ غَفُورٌ شَكُورٌ,"“Indeed, He is Forgiving and Appreciative.”",[35:30]
38,الشَّهِيد,Ash-Shaheed,The Witness,وَأَنتَ عَلَى كُلِّ شَيْءٍ شَهِيدٌ,"“and You are, over all things, Witness.”",[5:117]
39,الصَّمَد,As-Samad,The Perfect Lord & Master Upon Whom All of the Creation Depends,اللَّهُ الصَّمَدُ,"“Allah , the Eternal Refuge.”",[112:2]
40,العَالِم,Al-‘Aalim,The All Knower,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْعَزِيزُ الْحَكِيمُ,"“Knower of the unseen and the witnessed, the Exalted in Might, the Wise.”",[64:18]
41,العَزِيز,Al-‘Azeez,The Almighty,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…”",[59:23]
42,العَظِيم,Al-‘Azeem,The Great,وَهُوَ الْعَلِيُّ الْعَظِيمُ,"“And He is the Most High, the Most Great.”",[2:255]
43,العَفُوّ,Al-‘Afuww,The One Who Pardons Again & Again,فَإِنَّ اللّهَ كَانَ عَفُوًّا قَدِيرًا…,"“indeed, Allah is ever Pardoning and Competent.”",[4:149]
44,العَلِيم,Al-‘Aleem,The All Knowing,إِنَّ رَبَّكَ هُوَ الْخَلاَّقُ الْعَلِيمُ,"“Indeed, your Lord - He is the Knowing Creator.”",[15:86]
45,العَلِيّ,Al-‘Aliyy,The Sublime,وَهُوَ الْعَلِيُّ الْعَظِيمُ,"“And He is the Most High (Sublime), the Most Great.”",[2:255]
46,الغَفَّار,Al-Ghaffaar,The Oft-Forgiving,رَبُّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا الْعَزِيزُ الْغَفَّارُ,"“the Exalted in Might, the Perpetual Forgiver.”",[38:66]
47,الغَفُور,Al-Ghafoor,The One Who Forgives Extensively,إِنَّ اللّهَ غَفُورٌ حَلِيمٌ,"“Indeed, Allah is Forgiving and Forbearing.”",[3:155]
48,الغَنِيّ,Al-Ghaniyy,The Self Sufficient,فَإِنَّ اللّهَ هُوَ الْغَنِيُّ الْحَمِيدُ,"“indeed, Allah is the Free of need (Self Sufficient), the Praiseworthy.”",[57:24]
49,الفَتَّاح,Al-Fattaah,The Opener/Arbiter,وَهُوَ الْفَتَّاحُ الْعَلِيمُ,"“And He is the Knowing Judge (Arbiter).”",[34:26]
50,القَادِر,Al-Qaadir,The Fully Able One,لْ هُوَ الْقَادِرُ عَلَى أَن يَبْعَثَ عَلَيْكُمْ عَذَابًا مِّن فَوْقِكُمْ أَوْ مِن تَحْتِ أَرْجُلِكُمْ,"“Say, “He is the Able to send upon you affliction from above you or from beneath your feet…”",[6:65]
51,القَاهِر,Al-Qaahir,The Subduer/Subjugator,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ وَهُوَ الْحَكِيمُ الْخَبِيرُ,"“And He is the subjugator over His servants. And He is the Wise, the Acquainted .”",[6:18]
52,القُدُّوس,Al-Quddoos,The Pure & Perfect,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…”",[59:23]
53,القَدِير,Al-Qadeer,The All Powerful,فَإِنَّ اللّهَ كَانَ عَفُوًّا قَدِيرًا,"“indeed, Allah is ever Pardoning and Competent (All-Powerful).”",[4:149]
54,القَرِيب,Al-Qareeb,The Ever Near,إِنَّ رَبِّي قَرِيبٌ مُّجِيبٌ…,"“Indeed, my Lord is near and responsive.”",[11:61]
55,القَوِيّ,Al-Qawiyy,The Strong,إِنَّ رَبَّكَ هُوَ الْقَوِيُّ الْعَزِيزُ…,"“Indeed, it is your Lord who is the Powerful, the Exalted in Might.”",[11:66]
56,القَهَّار,Al-Qahhaar,The Subjugator,هُوَ اللَّهُ الْوَاحِدُ الْقَهَّارُ,"“He is Allah , the One, the Prevailing.”",[39:4]
57,الكَبِير,Al-Kabeer,The Magnificent/Grand,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ,"“Knower of the unseen and the witnessed, the Grand, the Exalted (supreme).”",[13:9]
58,الكَرِيم,Al-Kareem,The Most Noble & Generous,يَا أَيُّهَا الْإِنسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ,"“O mankind, what has deceived you concerning your Lord, the Generous,”",[82:6]
59,اللَّطِيف,Al-Lateef,The Subtle & Kind,إِنَّ اللَّهَ لَطِيفٌ خَبِيرٌ…,"“Indeed, Allah is Subtle and Acquainted.”",[22:63]
60,المُؤمِن,Al-Mu’min,The Trustworthy Granter of Security,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…”",[59:23]
61,المُتَعَالِي,Al-Muta’aalee,The Supreme,عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ,"“Knower of the unseen and the witnessed, the Grand, the Exalted (supreme).”",[13:9]
62,المُتَكَبِّر,Al-Mutakabbir,The Justly & Rightfully Proud,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior (justly proud)…”",[59:23]
63,المَتِين,Al-Mateen,The Firm One,إِنَّ اللّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ,"“Indeed, it is Allah who is the Provider, the firm possessor of strength.”",[51:58]
64,المُجِيب,Al-Mujeeb,The Responsive,إِنَّ رَبِّي قَرِيبٌ مُّجِيبٌ…,"“Indeed, my Lord is near and responsive.”",[11:61]
65,المَجِيد,Al-Majeed,The Glorious,ذُو الْعَرْشِ الْمَجِيدُ,"“Honorable (glorious) Owner of the Throne”",[85:15]
66,المُحِيط,Al-Muheet,The All Encompassing,إِنَّهُ بِكُلِّ شَيْءٍ مُّحِيطٌ,"“Unquestionably He is, of all things, encompassing.”",[41:54]
67,المُصَوِّر,Al-Musawwir,The Bestower of Forms,هُوَ اللَّهُ الْخَالِقُ الْبَارِئُ الْمُصَوِّرُ,"“He is Allah , the Creator, the Inventor, the Fashioner (bestower of forms)…”",[59:24]
68,المُقْتَدِر,Al-Muqtadir,The Omnipotent,وَكَانَ اللّهُ عَلَى كُلِّ شَيْءٍ مُّقْتَدِرً,"“And Allah is ever, over all things, Perfect in Ability (Omnipotent).”",[18:45]
69,المُقِيت,Al-Muqeet,The All Powerful Maintainer,وَكَانَ اللّهُ عَلَى كُلِّ شَيْءٍ مُّقِيتًا,"“And ever is Allah , over all things, a Keeper (Supreme Nourisher/overseer).”",[4:85]
70,المَلِك,Al-Malik,The King,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer, the Exalted in Might, the Compeller, the Superior…”",[59:23]
71,المَلِيك,Al-Maleek,The Supreme Sovereign,فِي مَقْعَدِ صِدْقٍ عِندَ مَلِيكٍ مُّقْتَدِرٍ,"“In a seat of honor near a Sovereign, Perfect in Ability.”",[54:55]
72,المَولَى,Al-Mawlaa,The Master,أَنَّ اللّهَ مَوْلاَكُمْ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيرُ,"“Excellent is the protector (patron/master), and Excellent is the helper.”",[8:40]
73,المُهَيْمِن,Al-Muhaymin,The Dominant One,هُوَ اللَّهُ الَّذِي لَا إِلَهَ إِلَّا هُوَ الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ,"“He is Allah, other than whom there is no deity, the Sovereign, the Pure, the Perfection, the Bestower of Faith, the Overseer (dominant), the Exalted in Might, the Compeller, the Superior…”",[59:23]
74,النَّصِير,An-Naseer,The Helper,أَنَّ اللّهَ مَوْلاَكُمْ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيرُ,"“Excellent is the protector, and Excellent is the helper.”",[8:40]
75,الوَاحِد,Al-Waahid,The One & Only,هُوَ اللَّهُ الْوَاحِدُ الْقَهَّارُ,"“He is Allah , the One, the Prevailing.”",[39:4]
76,الوَارِث,Al-Waarith,The Inheritor,وَإنَّا لَنَحْنُ نُحْيِي وَنُمِيتُ وَنَحْنُ الْوَارِثُونَ,"“And indeed, it is We who give life and cause death, and We are the Inheritor.”",[15:23]
77,الوَاسِع,Al-Waasi’,The Vast One,إِنَّ اللّهَ وَاسِعٌ عَلِيمٌ…,"“Indeed, Allah is all-Encompassing (all-prevading) and Knowing.”",[2:115]
78,الوَدُود,Al-Wadood,The Loving,إِنَّ رَبِّي رَحِيمٌ وَدُودٌ…,"“my Lord is Merciful and Affectionate (loving).”",[11:90]
79,الوَكِيل,Al-Wakeel,The Trustee,وَهُوَ عَلَى كُلِّ شَيْءٍ وَكِيلٌ…,"“and He is, over all things, Disposer of affairs (Trustee).”",[39:62]
80,الوَلِيّ,Al-Waliyy,The Guardian,…هُوَ الْوَلِيُّ وَهُوَ يُحْيِي المَوْتَى…,"“He is the Protector (Guardian), and He gives life to the dead…”",[42:9]
81,الوَهَّاب,Al-Wahhaab,The Bestower,إِنَّكَ أَنتَ الْوَهَّابُ,"“Indeed, You are the Bestower…”",[3:8]
82,الجَمِيل,Al-Jameel,The Beautiful,… إِنَّ اللَّهَ جَمِيلٌ يُحِبُّ الْجَمَالَ …,"“Allah is Beautiful (graceful), He loves beauty (grace)…”",[Muslim 91]
83,الجَوَاد,Al-Jawaad,The Munificent,…ذَلِكَ بِأَنِّي جَوَادٌ مَاجِدٌ…,"“That is because I am the Most Generous, Majestic…”",[Ibn Majah]
84,الحَكَم,Al-Hakam,The Judge,… إِنَّ اللّهَ هُوَ الْحَكَمُ وَإِلَيْهِ الْحُكْمُ,"“Allah is Al-Hakam (the Judge) and judgment is His…”",[Nasa’i 5387]
85,الحَيِّي,Al-Hayyiyy,The Modest,…إِنَّ رَبَّكُمْ تَبَارَكَ وَتَعَالَى حَيِيٌّ كَرِيمٌ,"“Your Lord is munificent and generous…”",[Abi Dawud 1488]
86,الرَّبّ,Ar-Rabb,The Lord and Nurturer,أَقْرَبُ مَا يَكُونُ الرَّبُّ مِنَ الْعَبْدِ فِي جَوْفِ اللَّيْلِ الآخِرِ,"“The closest that the Lord is to a worshipper is during the last part of the night…”",[Tirmidhi 3579]
87,الرَّفِيق,Ar-Rafeeq,The Gentle,إِنَّ اللّهَ رَفِيقٌ يُحِبُّ الرِّفْقَ فِي الأَمْرِ كُلِّهِ,"“Allah is kind (gentle and lenient) and likes that one should be kind (gentle and lenient) in all matters…”",[Bukhari 6927]
88,السُّبُّوح,As-Subbooh,The Perfect,"سُبُّوحٌ قُدُّوسٌ رَبُّ الْمَلاَئِكَةِ وَالرُّوحِ","“All Glorious (perfect), All Holy, Lord of the Angels and the Spirit.”",[Muslim 487]
89,السَّيِّد,As-Sayyid,The Lord & Master,السَّيِّدُ اللَّهُ تَبَارَكَ وَتَعَالَى,"“The lord is Allah, the Blessed and Exalted…",[Abu Dawud 4806]
90,الشَّافِي,Ash-Shaafee,The Healer,اللَّهُمَّ رَبَّ النَّاسِ أَذْهِبِ الْبَاسَ، اشْفِهِ وَأَنْتَ الشَّافِي,"“O Allah, the Lord of the people! Remove the trouble and heal the patient, for You are the Healer…",[Bukhari 5743]
91,الطَّيِّب,At-Tayyib,The Pure One,إِنَّ اللّهَ طَيِّبٌ لاَ يَقْبَلُ إِلاَّ طَيِّبًا,"“Allah is Good (Pure) and He therefore, accepts only that which is good (pure)…",[Muslim 1015]
92,القابِض,Al-Qaabid,The Withholder,إِنَّ اللّهَ هُوَ الْمُسَعِّرُ الْقَابِضُ الْبَاسِطُ الرَّزَّاقُ,"“Indeed Allah is Al-Musa’ir (One who regulates the prices), Al-Qabid (the withholder – the one who seizes), Al-Basit (the expander – the one who grants increase), Ar-Razzaq (the ever providing)…",[Tirmidhi 1314]
93,البَاسِط,Al-Baasit,The Expander,إِنَّ اللّهَ هُوَ الْمُسَعِّرُ الْقَابِضُ الْبَاسِطُ الرَّزَّاقُ,"“Indeed Allah is Al-Musa’ir (One who regulates the prices), Al-Qabid (the withholder – the one who seizes), Al-Basit (the expander – the one who grants increase), Ar-Razzaq (the ever providing)…",[Tirmidhi 1314]
94,المُقَدِّم,Al-Muqaddim,The One Who Gives Precedence,أَنْتَ الْمُقَدِّمُ وَأَنْتَ الْمُؤَخِّرُ,"“You are the One who make (some people) forward (The One Who Gives Precedence) And (some) backward (The Delayer)…",[Bukhari 1120]
95,المُؤَخِّر,Al-Mu’akhkhir,The Delayer,أَنْتَ الْمُقَدِّمُ وَأَنْتَ الْمُؤَخِّرُ,"“You are the One who make (some people) forward (The One Who Gives Precedence) And (some) backward (The Delayer)…",[Bukhari 1120]
96,المُحْسِن,Al-Muhsin,The Benevolent,in the hadith of Shadad ibn Au’s in al-Mujam al-Kabir (7:257) it is narrated that the prophet (pbuh) said ‘God is Mohsin so you too bring Husn in your deeds … ‘. Al-Albani considers the hadith to be authentic in his Sahih al-Jami (1824),"A number of the well-known scholars of the past including Ibn Taymiyah (in majmu’a al-fatawa 1:379) and ibn Qayyim (in madarij al-salikin, 1:418) have referred to Mohsin as a name of God."
97,المُعْطِي,Al-Mu’tee,The Giver,…وَاللَّهُ الْمُعْطِي وَأَنَا الْقَاسِمُ…,"“Allah is Al-Mu’tee (the Giver) and I am Al-Qasim (i.e. the distributor)…",[Bukhari 3116]
98,المَنَّان,Al-Mannaan,The Benefactor,…لاَ إِلَهَ إِلاَّ أَنْتَ وَحْدَكَ لاَ شَرِيكَ لَكَ الْمَنَّانُ…,"“none has the right to be worshiped but You alone, and You have no partner or associate, the Bestower (benefactor)…",[Ibn Majah 3858]
99,الوِتْر,Al-Witr,The One,… وَهْوَ وَتْرٌ يُحِبُّ الْوَتْرَ…,"“Allah is witr (one) and loves ‘the witr’…",[Bukhari 6410]
